source_event_id,event_name,market_prob_away_raw,market_prob_draw_raw,market_prob_home_raw,away_odds_mean,draw_odds_mean,home_odds_mean,event_start_ts_utc,target,overround,market_prob_home,market_prob_draw,market_prob_away,market_prob_mean,market_prob_std,feature_stub,pred_prob_class_1,edge,signal,pnl_unit,cum_pnl_unit
2223:426:Chesterfield:Yeovil,Chesterfield vs Yeovil,0.13333333333333333,0.25,0.7352941176470588,7.5,4.0,1.36,2023-03-11 00:00:00+00:00,0,1.1186274509803922,0.6573181419807186,0.22348816827344434,0.11919368974583698,0.6573181419807186,0.2853838673410754,0.6914081145584726,0.7029182047992149,0.04560006281849627,1,-1.0,5.425604982191198
2223:434:Maidenhead:Aldershot,Maidenhead vs Aldershot,0.3076923076923077,0.3225806451612903,0.4444444444444444,3.25,3.1,2.25,2023-03-14 00:00:00+00:00,0,1.0747173972980424,0.41354540790148797,0.30015392508978966,0.2863006670087225,0.41354540790148797,0.06981017740817279,0.6935560859188544,0.38507955493637785,-0.028465852965110117,0,-0.0,5.425604982191198
2223:435:Notts County:Eastleigh,Notts County vs Eastleigh,0.1111111111111111,0.2,0.7518796992481203,9.0,5.0,1.33,2023-03-14 00:00:00+00:00,1,1.0629908103592314,0.7073247406475951,0.1881483810122603,0.10452687834014461,0.7073247406475951,0.3265736034739522,0.6937947494033413,0.8596652503518124,0.1523405097042173,1,0.4137777777777778,5.839382759968975
2223:433:Boreham Wood:Southend,Boreham Wood vs Southend,0.3333333333333333,0.3076923076923077,0.42016806722689076,3.0,3.25,2.38,2023-03-14 00:00:00+00:00,1,1.0611937082525318,0.39593908629441626,0.2899492385786802,0.3141116751269035,0.39593908629441626,0.0555478718121121,0.6933174224343676,0.3497650884474554,-0.04617399784696086,0,0.0,5.839382759968975
2223:438:York:Altrincham,York vs Altrincham,0.3125,0.3125,0.4444444444444444,3.2,3.2,2.25,2023-03-14 00:00:00+00:00,0,1.0694444444444444,0.41558441558441556,0.2922077922077922,0.2922077922077922,0.41558441558441556,0.07123152671820057,0.6945107398568019,0.4029239328794155,-0.012660482705000031,0,-0.0,5.839382759968975
2223:437:Wealdstone:Chesterfield,Wealdstone vs Chesterfield,0.5780346820809249,0.2777777777777778,0.21052631578947367,1.73,3.6,4.75,2023-03-14 00:00:00+00:00,0,1.0663387756481764,0.19742911033269403,0.26049674280008245,0.5420741468672235,0.19742911033269403,0.18350456940456045,0.694272076372315,0.24399234016444143,0.046563229831747405,1,-1.0,4.839382759968975
2223:436:Solihull:Scunthorpe,Solihull vs Scunthorpe,0.23094688221709006,0.2777777777777778,0.5555555555555556,4.33,3.6,1.8,2023-03-14 00:00:00+00:00,1,1.0642802155504234,0.5220012055455093,0.26100060277275466,0.21699819168173598,0.5220012055455093,0.16486578647268885,0.6940334128878282,0.6490021784234614,0.1270009728779521,1,0.9157043879907623,5.755087147959737
2223:432:Barnet:Yeovil,Barnet vs Yeovil,0.2222222222222222,0.26666666666666666,0.5780346820809249,4.5,3.75,1.73,2023-03-14 00:00:00+00:00,1,1.0669235709698137,0.5417770286539851,0.24993980255237178,0.20828316879364314,0.5417770286539851,0.18171515999834395,0.6930787589498807,0.6958671414270213,0.1540901127730362,1,0.8457777777777775,6.600864925737515
2223:448:Solihull:Boreham Wood,Solihull vs Boreham Wood,0.4347826086956522,0.3225806451612903,0.3333333333333333,2.3,3.1,3.0,2023-03-18 00:00:00+00:00,1,1.0906965871902758,0.30561508786969566,0.2957565366480926,0.3986283754822118,0.30561508786969566,0.05676160370325263,0.6971360381861575,0.34208101903902727,0.03646593116933161,1,2.2720897615708275,8.872954687308342
2223:450:York:Dorking,York vs Dorking,0.25,0.29411764705882354,0.5555555555555556,4.0,3.4,1.8,2023-03-18 00:00:00+00:00,1,1.0996732026143792,0.5052005943536404,0.2674591381872214,0.22734026745913816,0.5052005943536404,0.15018704173493444,0.6978520286396181,0.5029238768486242,-0.0022767175050162347,0,0.0,8.872954687308342
2223:447:Scunthorpe:Wealdstone,Scunthorpe vs Wealdstone,0.3333333333333333,0.3076923076923077,0.45454545454545453,3.0,3.25,2.2,2023-03-18 00:00:00+00:00,1,1.0955710955710956,0.4148936170212766,0.28085106382978725,0.30425531914893617,0.4148936170212766,0.07159608717104807,0.6968973747016707,0.26048642978755554,-0.15440718723372104,0,0.0,8.872954687308342
2223:446:Maidenhead:Maidstone,Maidenhead vs Maidstone,0.26666666666666666,0.2857142857142857,0.5405405405405405,3.75,3.5,1.85,2023-03-18 00:00:00+00:00,1,1.0929214929214928,0.4945831370701837,0.26142251530852567,0.24399434762129066,0.4945831370701837,0.13991804623104614,0.6966587112171838,0.5393610850066544,0.04477794793647066,1,1.021904761904762,9.894859449213104
